bondarchuk,2,tolstoi
tolstoi,2,bondarchuk
gaidai,2,riazanov
mikhalkov,2,riazanov
riazanov,2,gaidai
riazanov,2,mikhalkov
riazanov,2,andreiTarkovskii
riazanov,2,antonioni
riazanov,2,bergman
riazanov,2,fellini
riazanov,2,karwai
andreiTarkovskii,2,riazanov
andreiTarkovskii,2,antonioni
andreiTarkovskii,2,pasolini
andreiTarkovskii,2,bergman
andreiTarkovskii,3,fellini
andreiTarkovskii,2,lynch
andreiTarkovskii,2,vonTrier
andreiTarkovskii,2,karwai
antonioni,2,riazanov
antonioni,2,andreiTarkovskii
antonioni,2,bergman
antonioni,2,fellini
antonioni,2,karwai
pasolini,2,andreiTarkovskii
pasolini,2,fellini
pasolini,2,lynch
pasolini,2,vonTrier
bergman,2,riazanov
bergman,2,andreiTarkovskii
bergman,2,antonioni
bergman,2,fellini
bergman,2,karwai
fellini,2,riazanov
fellini,3,andreiTarkovskii
fellini,2,antonioni
fellini,2,pasolini
fellini,2,bergman
fellini,2,lynch
fellini,2,vonTrier
fellini,2,karwai
lynch,2,andreiTarkovskii
lynch,2,pasolini
lynch,2,fellini
lynch,2,vonTrier
vonTrier,2,andreiTarkovskii
vonTrier,2,pasolini
vonTrier,2,fellini
vonTrier,2,lynch
karwai,2,riazanov
karwai,2,andreiTarkovskii
karwai,2,antonioni
karwai,2,bergman
karwai,2,fellini
